"Country","init_app","status","url_github_repo","url_shiny_app","error"
"Mexico",FALSE,"","","",""
"Micronesia",FALSE,"","","",""
"Monaco",FALSE,"","","",""
"Montenegro",FALSE,"","","",""
"Montserrat",FALSE,"","","",""
"Morocco",FALSE,"","","",""
"Mozambique",FALSE,"","","",""
"Myanmar",FALSE,"","","",""
"Namibia",FALSE,"","","",""
"Nauru",FALSE,"","","",""
"Netherlands",FALSE,"","","",""
"New Caledonia",FALSE,"","","",""
"New Zealand",FALSE,"","","",""
"Nicaragua",FALSE,"","","",""
"Nigeria",FALSE,"","","",""
"Niue",FALSE,"","","",""
"Norfolk Island",FALSE,"","","",""
"North Korea",FALSE,"","","",""
"Northern Saint-Martin",FALSE,"","","",""
"Norway",FALSE,"","","",""
"Oman",FALSE,"","","",""
"Pakistan",FALSE,"","","",""
"Palau",FALSE,"","","",""
"Panama",FALSE,"","","",""
"Papua New Guinea",FALSE,"","","",""
"Peru",FALSE,"","","",""
"Philippines",FALSE,"","","",""
"Poland",FALSE,"","","",""
"Portugal",FALSE,"","","",""
"Qatar",FALSE,"","","",""
"Republique du Congo",FALSE,"","","",""
"Reunion",FALSE,"","","",""
"Romania",FALSE,"","","",""
"Russia",FALSE,"","","",""
"Saint Helena",FALSE,"","","",""
"Saint Kitts and Nevis",FALSE,"","","",""
"Saint Lucia",FALSE,"","","",""
"Saint Pierre and Miquelon",FALSE,"","","",""
"Saint Vincent and the Grenadines",FALSE,"","","",""
"Samoa",FALSE,"","","",""
"Sao Tome and Principe",FALSE,"","","",""
"Saudi Arabia",FALSE,"","","",""
"Senegal",FALSE,"","","",""
"Seychelles",FALSE,"","","",""
"Sierra Leone",FALSE,"","","",""
"Singapore",FALSE,"","","",""
"Sint Maarten",FALSE,"","","",""
"Slovenia",FALSE,"","","",""
"Solomon Islands",FALSE,"","","",""
"Somalia",FALSE,"","","",""
"South Africa",FALSE,"","","",""
"South Georgia and the South Sandwich Islands",FALSE,"","","",""
"South Korea",FALSE,"","","",""
"Spain",FALSE,"","","",""
"Sri Lanka",FALSE,"","","",""
"Sudan",FALSE,"","","",""
"Suriname",FALSE,"","","",""
"Sweden",FALSE,"","","",""
"Syria",FALSE,"","","",""
"Taiwan",FALSE,"","","",""
"Tanzania",FALSE,"","","",""
"Thailand",FALSE,"","","",""
"Togo",FALSE,"","","",""
"Tokelau",FALSE,"","","",""
"Tonga",FALSE,"","","",""
"Trinidad and Tobago",FALSE,"","","",""
"Tunisia",FALSE,"","","",""
"Turkey",FALSE,"","","",""
"Turks and Caicos Islands",FALSE,"","","",""
"Tuvalu",FALSE,"","","",""
"Ukraine",FALSE,"","","",""
"United Arab Emirates",FALSE,"","","",""
"United Kingdom",FALSE,"","","",""
"United States",FALSE,"","","",""
"Uruguay",FALSE,"","","",""
"Vanuatu",FALSE,"","","",""
"Venezuela",FALSE,"","","",""
"Vietnam",FALSE,"","","",""
"Wallis and Futuna",FALSE,"","","",""
"Western Sahara",FALSE,"","","",""
"Yemen",FALSE,"","","",""
"make sc coastpop lyr log.txt",FALSE,"","","",""
